Title;Author;Affiliation main author;Country;Open Access?;Peer-reviewed?;Data published?;URI;Notes;;;;
"Abundance and community composition of flower visiting insects
of avocado (Persea Americana Mill) in the East African region
";Okello et al.;International Centre of Insect Physiology and Ecology;Kenya;no;yes;yes;https://doi.org/10.1007/s42690-021-00463-1;Data on insects visiting avocado flowers;;;;
Analysis of quality and origin attributes of kenyan honey for geographical indication labelling in west pokot, baringo and kitui counties;Warui MW;University of Nairobi;Kenya;yes;yes;yes;http://erepository.uonbi.ac.ke/bitstream/handle/11295/104615/Warui_Analysis%20Of%20Quality%20And%20Origin%20Attributes%20Of%20Kenyan%20Honey%20For%20Geographical%20Indication%20Labelling%20In%20West%20Pokot%2c%20Baringo%20And%20Kitui%20Counties.pdf?sequence=1&isAllowed=y;About competitiveness of honey in Kenya;;;;
Arable Crop Farming and Adoption of Bee Pollination Services among Farming Households in Kwara State, Nigeria;Oladimeji et al.;Ahmadu Bello University;Nigeria;yes;yes;yes;http://dx.doi.org/10.9734/AJAEES/2017/31305; Adoption of Bee Pollination Services (BPS) by arable crop farmers in Kwara State, Nigeria.;;;;
Aspects determining the risk of pesticides to wild bees : risk profiles for focal crops on three continents;van der Valk et al.;Wageningen University & Research;global;yes;no;yes;https://library.wur.nl/WebQuery/wurpubs/fulltext/247879;pesticide exposure of key crop pollinators;;;;
Aspects determining the risk of pesticides to wild bees: risk profiles for focal crops on three continents;van der Valk et al.;Wageningen University & Research;global;yes;no;yes;https://doi.org/10.5073/jka.2012.437.042;risk assessment of pesticides to bees;;;;
Avocado (Persea americana) yield as influenced by pollinators in Murang’a County, Kenya;MulwaJ , KahuthiaGR & KasinaM;Kenya Agricultural and Livestock Research Organization (KALRO), Nairobi, Kenya;Kenya;Yes;Yes;Yes;https://www.jara.org.in/uploads/archivepdf/8207JARA_Vol__01__September-2019__05.pdf;Contains data on the contribution of biotic pollination on avocado fruit set and yields;;;;
Bee diversity and floral resources along a disturbance gradient in Kaya Muhaka Forest and surrounding farmlands of coastal Kenya;Chiawo DO et al;Strathmore University;Kenya;Yes;Yes;Yes;https://www.pollinationecology.org/index.php/jpe/article/view/319;;;;;
Bee diversity and their floral resource utilization along a distance gradient from the Arabuko Sokoke forest;Mwangi KN;University of Nairobi;Kenya;yes;yes;yes;http://erepository.uonbi.ac.ke/bitstream/handle/11295/12066/Mwangi%20Keneth%20Njoroge_Bee%20diversity%20and%20their%20floral%20resource%20Utilization.pdf?sequence=3&isAllowed=y;trend in pollinator diversity and density;;;;
Bee diversity(Hymenoptera: Apoidea) visiting Broad Bean  (Viciafaba L.) flowers in Egypt;Shebl M;Suez Canal University;Egypt;no;Yes;Yes;https://www.tandfonline.com/doi/epdf/10.1080/09397140.2015.1069245?needAccess=true&role=button;Bee diversity;;;;
Bee Fauna (Apoidea: Hymenoptera) of the Suez Canal Region, Egypt;Shebl M;Suez Canal University;Egypt;Yes;Yes;Yes;https://sciendo.com/article/10.2478/jas-2013-0004;Bee fauna ;;;;
Bee genera of East Africa (Kenya, Uganda and Tanzania), Lucid v. 3.5 key and fact sheets. ;Munyuli T., et al. ;Busitema University;East Africa; Yes;yes;yes;keys.lucidcentral.org/keys/v3/EAFRINET;Keys andfactsheets for bees of east africa;;;;
Bee pollination enhances crop yield and fruit quality in Kakamega , Western Kenya.;Kasina et al.;KALRO;Kenya;no;yes;yes;http://www.eaafj.or.ke/index.php/path/article/viewArticle/381;Data on the effects of bee pollination on crop yields;;;;
Bee Pollinators and Economic Importance of Pollination in Crop Production: Case of Kakamega, Western Kenya;Kasina J;University of Bonn, Germany;Kenya;yes;yes;yes;https://bonndoc.ulb.uni-bonn.de/xmlui/bitstream/handle/20.500.11811/2732/1199.pdf?sequence=1&isAllowed=y;About pollinators of crops, their trends, farmer knowledge and impact on crop yield;;;;
"Beekeeping adoption: A case study of three
smallholder farming communities in Baringo County, Kenya";Hecklé R et al..;Institute of Biological & Environmental Sciences, University of Aberdeen, Aberdeen, UK;Kenya;yes;yes;yes;https://files.core.ac.uk/pdf/1/156963563.pdf;folk interactions with bees;;;;
Bees require protection for sustainable horticultural crops production in Kenya;Kasina J;KALRO;Kenya;yes;yes;yes;DOI: 10.5073/jka.2012.437.044;Effects of pollinators in horticulture;;;;
Butterfly Pollination of the Dryland Wildflower Gloriosa minor;Martinsa D;Turkana Basin Institute,;Kenya;No;Yes;Yes;https://bioone.org/journals/journal-of-east-african-natural-history/volume-103/issue-1/028.103.0103/Butterfly-Pollination-of-the-Dryland-Wildflower-iGloriosa-minori/10.2982/028.103.0103.short#:~:text=1%20April%202015-,Butterfly%20Pollination%20of%20the%20Dryland%20Wildflower%20Gloriosa%20minor,-Dino%20J.%20Martins;Contains data on  pollination ecology of G. minor ;;;;
Changing Pattern of Pesticide usage in Ghana and the hidden Risks of herbicide handling: A Review ;Frimpong E.A. et al.;University of Cape Coast;Ghana;yes;yes;yes;http://jenrm.uenr.edu.gh/index.php/uenrjournal/article/view/113;Herbicide, insecticide, fungicide, farmers, poisoning;;;;
Cocoa farmers' awareness of pollination and its implication for pollinator-friendly practices;Frimpong-Anin, K, PK Kwapong, I Gordon;University of Cape Coast;Ghana;yes;yes;yes;https://www.researchgate.net/publication/281243965_Cocoa_Farmers'_Awareness_Of_Pollination_And_Its_Implication_For_Pollinator-Friendly_Practices;Review-Research and Reviews in Biosciences;;;;
Community plant-pollinator interactions in a Kenyan savannah;Ruiz G;The University of Edinburgh;Kenya;Yes;Yes;Yes;https://era.ed.ac.uk/handle/1842/3133;;;;;
Comparison of Bee Pollinators of Coffee in Organic and Conventional Farms;Karanja et al;Jomo Kenyatta University of Agriculture and Technology;Kenya;Yes;Yes;Yes;https://www.airitilibrary.com/Publication/alDetailedMesh?docid=20413890-201111-201512280006-201512280006-469-474;Comparison of Bee Pollinators of Coffee in Organic and Conventional Farms;;;;
Composition and floral resources of bees and butteflies in Kaya Muhaka forest and surrounding farmlands, Kwale County, Kenya;Chiawo, DO;Kenyatta University;Kenya;Yes;Yes;Yes;https://ir-library.ku.ac.ke/handle/123456789/4175;;;;;
Crops, Browse and Pollinators in Africa: An Initial Stock-taking;API;FAO;Africa;yes;no;yes;https://www.fao.org/3/a1504e/a1504e00.pdf;about work done in africa on plant pollinator interactions;;;;
Determination of neonicotinoid residues in hive products from Kiambu and Nairobi Counties, Kenya;Mulati, PW;Kenyatta University;Kenya;Yes;Yes;Yes;http://ir-library.ku.ac.ke/handle/123456789/17569;;;;;
Determining Pollinators, Floral Calendar and the Effect of Pollination Deficit of Avocado Persea AmericanaMill in Kandara, Murang’a County, Kenya;Mulwa, JM;Kenyatta University;Kenya;;;Yes;https://ir-library.ku.ac.ke/handle/123456789/20447;;;;;
Differences in pollination syndromes and the frequency of autonomous delayed selfing between co-flowering Hibiscus aponeurus (Sprague and Hutch) and H. flavifolius (Ulbr) from Kenya;Juan et al;Department of Evolution and Ecology, University of California ;Kenya;Yes;Yes;Yes;https://www.pollinationecology.org/index.php/jpe/article/view/450/159;;;;;
Distance and quality of natural habitat influence hawkmoth pollination of cultivated papaya;Martin D & Johnson S;School of Biological and Conservation Sciences, University of KwaZulu;Kenya;No;Yes;Yes;https://link.springer.com/article/10.1017/S1742758409990208;Contains data on role of hawkmoths as pollinators of papaya on subsistence farms in Kenya ;;;;
Distribution, behavioural biology, rearing and pollination efficiency of five stingless bee species (Apidae: Meliponinae) in kakamega forest, Kenya;Nkoba K;Kenyatta University;Kenya;Yes;Yes;Yes;https://ir-library.ku.ac.ke/bitstream/handle/123456789/6910/Kiatoko%20N..pdf;;;;;
Diversity and abundance of bees and their effect on yield of french beans, adjacent Mt Kenya forest in Laikipia County;Ojwang', MRD;Kenyatta University;Kenya;Yes;Yes;Yes;http://ir-library.ku.ac.ke/handle/123456789/18408;;;;;
Diversity and activity density of bees visiting crop flowers in Kakamega, Western Kenya;Kasina M et al;Department of Entomology, KAR;Kenya;Yes;Yes;Yes;https://www.tandfonline.com/doi/abs/10.3896/IBRA.1.48.2.08;Contains data on bees visiting bean (Phaseolus vulgaris) flowers;;;;
Diversity and effi ciency of wild pollinators of watermelon (Citrullus lanatus (Thunb.) Mansf.) at Yatta (Kenya;Njoroge N et al;Jomo Kenyatta University of Agriculture and Technology, Botany Department;Kenya;Yes;Yes;Yes;http://www.horticultureresearch.net/pdf/Journal%20of%20Applied%20Horticulture%2012(1)%202010.pdf#page=36;Contains data on wild pollinators of watermelon, their behaviour and relative pollination effi ciencies;;;;
Diversity of honey bee Apis Mellifera subspecies (Hymenoptera: Apidae) and their associated arthropod pests in Cameroon;Cham DT ;University of BUEA;Cameroon;Yes;Yes;Yes;http://erepository.uonbi.ac.ke/bitstream/handle/11295/101375/THESIS%20UoN-David%20Cham.pdf?sequence=1;"The pollinator services are vital especially in Africa where most economies rely largely on 
Besides their role in pollination, honey bees make useful products such as honey and wax, as …";;;;
Diversity of sunflower pollinators and their effect on seed yield in Makueni District;Nyamasyo et al.;University of Nairobi;Kenya;yes;Yes;Yes;http://erepository.uonbi.ac.ke/handle/11295/38533;Contains data on the diversity of sunflower pollinators;;;;
Do French beans (Phaseolus vulgaris)grown in proximity to Mt Kenya forest in Kenya experience pollination deficit?;Masiga R et al;Kenyatta University, Department of Zoological Science,;Kenya;Yes;Yes;Yes;https://www.pollinationecology.org/index.php/jpe/article/view/252/103;;;;;
Dynamics of cocoa pollination: tools and applications for surveying and monitoring cocoa pollinators;Frimpong E.A. et al.;University of Cape Coast;Ghana;yes;yes;yes;https://doi.org/10.1017/S1742758409990117;monitoring of cocoa pollinators;;;;
Economic Benefit of Crop Pollination by Bees: A Case of Kakamega Small-Holder Farming in Western Kenya;Kasina J et al; Kenya Agricultural Research Institute-National Agricultural Research Laboratories.;Kenya;Free (Feb 2023);yes;yes;https://doi.org/10.1603/029.102.0201;About value of pollinators in crop farming;;;;
Effect of Anthropogenic Activities on Insect Pollinators Diversity and Abundances during Dry and Wet Seasons within Kakamega Forest, Kenya;"Wafubwa, CM; Ndong’a; Millicent F.O";Bukura Agricultural College;Kenya;Yes;yes;yes;https://www.researchgate.net/profile/Chrisostim-Mangoli/publication/339472658_EASJALS_210_496-500_c/links/5fd09472299bf188d4041bfb/EASJALS-210-496-500-c.pdf;;;;;
Effect of Insect Pollination on the Yield of Sesamum Indicum (Pedaliaceae) in Maroua-Cameroon;Pando et al.;University of Maroua;Cameroon;yes;yes;yes;https://www.semanticscholar.org/paper/Effect-of-Insect-Pollination-on-the-Yield-of-in-Pando-Djonwangw%C3%A9/f9fb84f46f5e44c6b3cc335a2e7d4125443aa5f9;Effects of insect pollination on yield;;;;
Effect of insecticides on foraging behaviour and pollination role of Apis mellifera L. (Hymenoptera: Apidae) on toria (Brassica campestris var. toria) crop;Sharma D;Sher-e-Kashmir University of Agricultural Sciences and Technology;Egypt;Yes;Yes;Yes;https://www.ajol.info/index.php/ejb/article/view/106664/96573;Effect of insecticides on foraging behaviour and pollination role;;;;
Effect of integrated pest and pollinator management (IPPM) training on knowledge, perceptions and livelihoods of avocado farmers in Kenya;Muriithi et al.;International Centre of Insect Physiology and Ecology;Kenya;yes;no;yes;https://www.tropentag.de/2022/abstracts/posters/23.pdf;pollinators and pest management models;;;;
Effect of pollinators on sunflower seed yield (Helianthus annus l.) in Makueni district, eastern Kenya;Oronje MLA;University of Nairobi;Kenya;yes;yes;yes;http://erepository.uonbi.ac.ke/bitstream/handle/11295/19470/ORONJE_M.L_MSC_ARM_CROP_PROTECTION_2006.pdf?sequence=3;Pollinator effects on yields;;;;
Effects of Insecticide Applications on Sunflower (Helianthus annuus L.) Pollination in Eastern Kenya;Nderitu et al.;University of Nairobi;Kenya;yes;yes;yes;https://idosi.org/wjas/wjas3(6)/5.pdf;Data on the effects of insecticide on crop pollination;;;;
Effects of larval age at grafting and supplemental feeding on morphometrics and oviposition in honeybee queen (apis mellifera scutellata, hymenoptera: apidae) in karura forest, kenya;Loise Kawira Njeru;Jomo Kenyatta University of Agriculture and Technology;Kenya ;Yes;Yes;Yes;http://ir.jkuat.ac.ke/bitstream/handle/123456789/4523/Njeru%2c%20Loise%20Kawira.%20MSc%20Zoology%2c%202018.pdf?sequence=1&isAllowed=y;;;;;
Effects of urbanisation and management practices on pollinators in tropical Africa;Guenat et al;Sustainability Research Institute, School of Earth and Environment,;Ghana;Yes;yes;Yes;https://doi.org/10.1111/1365-2664.13270;;;;;
Elevational and seasonal patterns of butterflies and hawkmoths in plant-pollinator networks in tropical rainforests of Mount Cameroon;Mertens JEJ et al;Charles University;Cameroon;Yes;yes;Yes;https://link.springer.com/content/pdf/10.1038/s41598-021-89012-x.pdf;"Butterflies and moths are conspicuous flower visitors but their role in plant-pollinator interactions 
has rarely been quantified, especially in tropical rainforests. Moreover, we have virtually …";;;;
